term_id,current_form,source_or_control_basis,internal_classification,external_register_rows,external_review_state,required_output
TERM-TA-019,ஆசீவக ஆசிரியர்,"SRC-0001; philosophy bible",PROVISIONAL_SCHOOL_LABEL,"SR-001;SR-003;SR-005",READY_FOR_EXTERNAL_REVIEW,"Confirm school label chronology and performance form"
TERM-TA-020,நிகண்டவாத ஆசிரியர்,"SRC-0001; philosophy bible; SRC-0015-SRC-0017 context",PROVISIONAL_SCHOOL_LABEL,"SR-001;SR-003;SR-005",READY_FOR_EXTERNAL_REVIEW,"Confirm school label chronology and performance form"
TERM-TA-021,வைசேடிக ஆசிரியர்,"SRC-0001; philosophy bible",PROVISIONAL_SCHOOL_LABEL,"SR-001;SR-003;SR-005",READY_FOR_EXTERNAL_REVIEW,"Confirm school label chronology and performance form"
TERM-TA-022,பூதவாதி,"SRC-0001; philosophy bible",PROVISIONAL_SCHOOL_LABEL_GLOSS_OPEN,"SR-001;SR-003;SR-005",READY_FOR_EXTERNAL_REVIEW,"Reconcile with பொருள்முதல்வாதி and define subtitle gloss"
TERM-TA-023,விளைவுச் சங்கிலி,"SRC-0001; philosophy bible; screenplay synthesis",PERFORMANCE_SIMPLIFICATION_DOCTRINE_OPEN,"SR-001;SR-004;SR-005",READY_FOR_EXTERNAL_REVIEW,"Provide doctrine-safe dialogue and subtitle alternatives"
TERM-TA-024,வாக்குமூலம்,"Institutional screenplay synthesis; historical-world dossiers",MODERN_CLARITY_HISTORICAL_OPEN,"SR-001;SR-006",READY_FOR_EXTERNAL_REVIEW,"Assess period risk and propose performance-safe alternative"
TERM-TA-025,நிவாரணம்,"Institutional screenplay synthesis; famine dossier",MODERN_FUNCTIONAL_LANGUAGE_HISTORICAL_OPEN,"SR-001;SR-006",READY_FOR_EXTERNAL_REVIEW,"Assess period risk and propose performance-safe alternative"
TERM-TA-026,சோறு,"SRC-0001; SRC-0045; Aadhirai approval record",APPROVED_PERSPECTIVE_VISUAL_OPEN,"SR-002;SR-003;SR-007",READY_FOR_EXTERNAL_REVIEW,"Confirm reading food form texture vessel and serving action"
TERM-TA-027,கறி,"SRC-0045; Aadhirai approval record",LATER_PERSPECTIVE_MEANING_OPEN,"SR-002;SR-003;SR-007",READY_FOR_EXTERNAL_REVIEW,"Confirm reading semantic range and non-anachronistic visual"
TERM-TA-028,பசுநெய்,"SRC-0045; Aadhirai approval record",LATER_PERSPECTIVE_MATERIAL_OPEN,"SR-002;SR-003;SR-007",READY_FOR_EXTERNAL_REVIEW,"Confirm reading material plausibility and visual handling"
