scene_id,working_scene_title,selection,primary_scene_id,feature_unit_id,sequence_id
SC-126,Hunger Across the Sea,MERGE,SC-127,BR-007,SEQ-04
SC-127,The Ship Leaves in Darkness,BRANCH,SC-127,BR-007,SEQ-04
SC-128,The Vessel Chooses the Future,BRANCH,SC-128,BR-008,SEQ-04
SC-129,Two Travellers at Potiya,MERGE,SC-131,BR-009,SEQ-05
SC-130,Food That Cannot Satisfy,MERGE,SC-131,BR-009,SEQ-05
SC-131,Counting Indra Festivals,BRANCH,SC-131,BR-009,SEQ-05
SC-132,The Woman With His Wife's Face,KEEP,SC-132,FU-028,SEQ-05
SC-133,What He Thinks He Sees,KEEP,SC-133,FU-029,SEQ-05
SC-134,The Sword in the Hidden Place,KEEP,SC-134,FU-030,SEQ-05
SC-135,Midnight Without a Question,KEEP,SC-135,FU-031,SEQ-05
SC-136,Do Not Go Near Her,KEEP,SC-136,FU-032,SEQ-05
SC-137,The Sky Without Kayasandihai,RESERVE,,,SEQ-05
SC-138,The King Without Hunger,KEEP,SC-138,FU-044,SEQ-08
SC-139,The News of Another Life,MERGE,SC-138,FU-044,SEQ-08
SC-140,The Minister's Warning,KEEP,SC-140,FU-045,SEQ-08
SC-141,One Month Away,MERGE,SC-140,FU-045,SEQ-08
SC-142,The Mirror of the Peedihai,KEEP,SC-142,FU-046,SEQ-08
SC-143,The Night Sindhadevi Came,MERGE,SC-142,FU-046,SEQ-08
SC-144,Bones Beneath the Punnai Tree,KEEP,SC-144,FU-047,SEQ-08
SC-145,The King Who Wants to Disappear,KEEP,SC-145,FU-048,SEQ-08
SC-146,Return Is Also a Vow,KEEP,SC-146,FU-049,SEQ-08
SC-147,Two Lives One Present Duty,MERGE,SC-146,FU-049,SEQ-08
SC-148,The House After He Leaves,MERGE,SC-150,BR-010,SEQ-04
SC-149,News From the Broken Ship,MERGE,SC-150,BR-010,SEQ-04
SC-150,The Fire Does Not Take Her,BRANCH,SC-150,BR-010,SEQ-04
SC-151,The Stranger at the Shore,MERGE,SC-152,BR-011,SEQ-04
SC-152,Two People Return to One House,BRANCH,SC-152,BR-011,SEQ-04
SC-153,The First Handful,KEEP,SC-153,FU-021,SEQ-04
SC-154,The Wish Travels Beyond the Door,MERGE,SC-153,FU-021,SEQ-04
