shot_id,unit_order,sequence_id,feature_unit_id,primary_scene_id,feature_unit_title,shot_role,location,time_period,frame_brief,character_or_action_focus,camera_and_lens,lighting_and_palette,sound_or_transition,practical_vfx_note,evidence_ids,adaptation_decision_ids,visual_classification,asset_status
SB-004-2,4,SEQ-01,BR-001,SC-097,Madhavi Brings the Unspeakable,DECISION,Aravana's religious dwelling in Puhar,Pre-story or Act I memory,Stage the unit's decisive movement: Establish the teacher as receiver of Kovalan's death and Madhavi's grief without turning her into a penitent awaiting male purification,"The person making, resisting or receiving the consequential action",50mm observed action; camera remains at participant height,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0215;EV-0165;EV-0167,AD-0081;AD-0084;AD-0109;AD-0117,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-004-3,4,SEQ-01,BR-001,SC-097,Madhavi Brings the Unspeakable,CONSEQUENCE,Aravana's religious dwelling in Puhar,Pre-story or Act I memory,Hold the changed condition after “Madhavi Brings the Unspeakable” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",75mm consequence detail or environmental handoff,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered memory_inset transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0215;EV-0165;EV-0167,AD-0081;AD-0084;AD-0109;AD-0117,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-005-1,5,SEQ-01,FU-004,SC-075,A Daughter Is Not a Second Life,ENTRY,Madhavi household council space,Act I,Establish Madhavi household council space as lived space before foregrounding “A Daughter Is Not a Second Life.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0165;EV-0169;EV-0171;EV-0177;EV-0130;EV-0131;EV-0142;EV-0145;EV-0104;EV-0147;EV-0150;EV-0158;EV-0234;EV-0240,AD-0083;AD-0085;AD-0088;AD-0063;AD-0064;AD-0065;AD-0070;AD-0048;AD-0072;AD-0077;AD-0122,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-005-2,5,SEQ-01,FU-004,SC-075,A Daughter Is Not a Second Life,DECISION,Madhavi household council space,Act I,Stage the unit's decisive movement: Bring Madhavi Chitrapathi and Manimekalai into conflict over whether protection continuity or renunciation may be assigned to the younger woman,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0165;EV-0169;EV-0171;EV-0177;EV-0130;EV-0131;EV-0142;EV-0145;EV-0104;EV-0147;EV-0150;EV-0158;EV-0234;EV-0240,AD-0083;AD-0085;AD-0088;AD-0063;AD-0064;AD-0065;AD-0070;AD-0048;AD-0072;AD-0077;AD-0122,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-005-3,5,SEQ-01,FU-004,SC-075,A Daughter Is Not a Second Life,CONSEQUENCE,Madhavi household council space,Act I,Hold the changed condition after “A Daughter Is Not a Second Life” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",65mm knowledge-change detail leading the transition,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0165;EV-0169;EV-0171;EV-0177;EV-0130;EV-0131;EV-0142;EV-0145;EV-0104;EV-0147;EV-0150;EV-0158;EV-0234;EV-0240,AD-0083;AD-0085;AD-0088;AD-0063;AD-0064;AD-0065;AD-0070;AD-0048;AD-0072;AD-0077;AD-0122,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-006-1,6,SEQ-01,FU-005,SC-009,Many Paths Under One Roof,ENTRY,Puhar festival debate hall,Act I,Establish Puhar festival debate hall as lived space before foregrounding “Many Paths Under One Roof.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0035;EV-0037;EV-0045;EV-0047,AD-0014;AD-0018;AD-0020,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-006-2,6,SEQ-01,FU-005,SC-009,Many Paths Under One Roof,DECISION,Puhar festival debate hall,Act I,Stage the unit's decisive movement: Establish intellectual plurality and civic rivalry before Manimekalai's formal philosophical journey,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0035;EV-0037;EV-0045;EV-0047,AD-0014;AD-0018;AD-0020,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-006-3,6,SEQ-01,FU-005,SC-009,Many Paths Under One Roof,CONSEQUENCE,Puhar festival debate hall,Act I,Hold the changed condition after “Many Paths Under One Roof” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",65mm knowledge-change detail leading the transition,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0035;EV-0037;EV-0045;EV-0047,AD-0014;AD-0018;AD-0020,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-007-1,7,SEQ-02,FU-006,SC-081,The Safer Side of the Street,ENTRY,Puhar public route,Act I,Establish Puhar public route as lived space before foregrounding “The Safer Side of the Street.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0180;EV-0190;EV-0191,AD-0093;AD-0094;AD-0096;AD-0098,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-007-2,7,SEQ-02,FU-006,SC-081,The Safer Side of the Street,DECISION,Puhar public route,Act I,Stage the unit's decisive movement: Establish Sudhamathi's ordinary competence through route choice crowd reading and mutual conversation before overt danger begins,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0180;EV-0190;EV-0191,AD-0093;AD-0094;AD-0096;AD-0098,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-007-3,7,SEQ-02,FU-006,SC-081,The Safer Side of the Street,CONSEQUENCE,Puhar public route,Act I,Hold the changed condition after “The Safer Side of the Street” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",65mm knowledge-change detail leading the transition,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0180;EV-0190;EV-0191,AD-0093;AD-0094;AD-0096;AD-0098,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-008-1,8,SEQ-02,FU-007,SC-082,Her Story Changes the Map,ENTRY,Protected garden space,Act I,Establish Protected garden space as lived space before foregrounding “Her Story Changes the Map.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0181;EV-0182;EV-0192;EV-0133;EV-0145,AD-0092;AD-0095;AD-0066;AD-0069,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-008-2,8,SEQ-02,FU-007,SC-082,Her Story Changes the Map,DECISION,Protected garden space,Act I,Stage the unit's decisive movement: Give Sudhamathi ownership of her earlier ordeal so the city and its risks are reinterpreted through survival injury and household collapse,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0181;EV-0182;EV-0192;EV-0133;EV-0145,AD-0092;AD-0095;AD-0066;AD-0069,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-008-3,8,SEQ-02,FU-007,SC-082,Her Story Changes the Map,CONSEQUENCE,Protected garden space,Act I,Hold the changed condition after “Her Story Changes the Map” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",65mm knowledge-change detail leading the transition,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0181;EV-0182;EV-0192;EV-0133;EV-0145,AD-0092;AD-0095;AD-0066;AD-0069,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-009-1,9,SEQ-02,FU-008,SC-055,The Gaze Arrives Before the Prince,ENTRY,Puhar flower garden and public route,Act I,Establish Puhar flower garden and public route as lived space before foregrounding “The Gaze Arrives Before the Prince.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0021;EV-0024;EV-0132;EV-0140;EV-0146;EV-0022;EV-0025;EV-0183;EV-0184;EV-0190;EV-0197;EV-0201,AD-0061;AD-0062;AD-0008;AD-0010;AD-0012;AD-0094;AD-0098;AD-0101;AD-0102,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-009-2,9,SEQ-02,FU-008,SC-055,The Gaze Arrives Before the Prince,DECISION,Puhar flower garden and public route,Act I,Stage the unit's decisive movement: Show Manimekalai becoming socially visible and watched before Udayakumaran enters without making the camera share entitlement,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0021;EV-0024;EV-0132;EV-0140;EV-0146;EV-0022;EV-0025;EV-0183;EV-0184;EV-0190;EV-0197;EV-0201,AD-0061;AD-0062;AD-0008;AD-0010;AD-0012;AD-0094;AD-0098;AD-0101;AD-0102,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-009-3,9,SEQ-02,FU-008,SC-055,The Gaze Arrives Before the Prince,CONSEQUENCE,Puhar flower garden and public route,Act I,Hold the changed condition after “The Gaze Arrives Before the Prince” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",65mm knowledge-change detail leading the transition,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0021;EV-0024;EV-0132;EV-0140;EV-0146;EV-0022;EV-0025;EV-0183;EV-0184;EV-0190;EV-0197;EV-0201,AD-0061;AD-0062;AD-0008;AD-0010;AD-0012;AD-0094;AD-0098;AD-0101;AD-0102,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-010-1,10,SEQ-02,FU-009,SC-058,No Is Not a Riddle,ENTRY,Crystal pavilion and pursuit route,Act I,Establish Crystal pavilion and pursuit route as lived space before foregrounding “No Is Not a Riddle.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0132;EV-0146;EV-0122;EV-0149;EV-0150;EV-0161;EV-0184;EV-0191;EV-0198;EV-0201,AD-0057;AD-0061;AD-0062;AD-0078;AD-0096;AD-0097;AD-0101;AD-0103,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-010-2,10,SEQ-02,FU-009,SC-058,No Is Not a Riddle,DECISION,Crystal pavilion and pursuit route,Act I,Stage the unit's decisive movement: Make the prince confront a refusal that romance convention cannot convert into invitation,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0132;EV-0146;EV-0122;EV-0149;EV-0150;EV-0161;EV-0184;EV-0191;EV-0198;EV-0201,AD-0057;AD-0061;AD-0062;AD-0078;AD-0096;AD-0097;AD-0101;AD-0103,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-010-3,10,SEQ-02,FU-009,SC-058,No Is Not a Riddle,CONSEQUENCE,Crystal pavilion and pursuit route,Act I,Hold the changed condition after “No Is Not a Riddle” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",65mm knowledge-change detail leading the transition,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0132;EV-0146;EV-0122;EV-0149;EV-0150;EV-0161;EV-0184;EV-0191;EV-0198;EV-0201,AD-0057;AD-0061;AD-0062;AD-0078;AD-0096;AD-0097;AD-0101;AD-0103,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-011-1,11,SEQ-02,FU-010,SC-090,A Warning From Beyond,ENTRY,Puhar palace threshold,Act I,Establish Puhar palace threshold as lived space before foregrounding “A Warning From Beyond.”,"Environment, labour and access relationships",40mm relational master preserving distance and power,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0196;EV-0199,AD-0102,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-011-2,11,SEQ-02,FU-010,SC-090,A Warning From Beyond,DECISION,Puhar palace threshold,Act I,Stage the unit's decisive movement: Present the goddess warning as a moment of possible self-correction,"The person making, resisting or receiving the consequential action",65mm listening single; reaction before assertion,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0196;EV-0199,AD-0102,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-011-3,11,SEQ-02,FU-010,SC-090,A Warning From Beyond,CONSEQUENCE,Puhar palace threshold,Act I,Hold the changed condition after “A Warning From Beyond” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",50mm two-plane reversal or exit,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0196;EV-0199,AD-0102,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-012-1,12,SEQ-02,FU-011,SC-059,The Goddess Chooses Her,ENTRY,Puhar night and passage to Manipallavam,Act I to Act II,Establish Puhar night and passage to Manipallavam as lived space before foregrounding “The Goddess Chooses Her.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0068;EV-0135;EV-0085;EV-0086,AD-0036;AD-0067;AD-0037,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-012-2,12,SEQ-02,FU-011,SC-059,The Goddess Chooses Her,DECISION,Puhar night and passage to Manipallavam,Act I to Act II,Stage the unit's decisive movement: Give female divine authority control over warning geography memory and responsibility without decorative spectacle,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0068;EV-0135;EV-0085;EV-0086,AD-0036;AD-0067;AD-0037,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-012-3,12,SEQ-02,FU-011,SC-059,The Goddess Chooses Her,CONSEQUENCE,Puhar night and passage to Manipallavam,Act I to Act II,Hold the changed condition after “The Goddess Chooses Her” and hand it to the next unit.,"Material consequence, witness, object or altered relationship",65mm knowledge-change detail leading the transition,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Use the registered continuous_scene transition,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0068;EV-0135;EV-0085;EV-0086,AD-0036;AD-0067;AD-0037,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-013-1,13,SEQ-02,FU-012,SC-085,The Place Beside Her Is Empty,ENTRY,Puhar after divine transport,Act I break,Establish Puhar after divine transport as lived space before foregrounding “The Place Beside Her Is Empty.”,"Environment, labour and access relationships",35mm spatial master linking person and institution,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Carry sound from the previous unit into this geography,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0185;EV-0193;EV-0068;EV-0165;EV-0170,AD-0093;AD-0097;AD-0098;AD-0083;AD-0086,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
SB-013-2,13,SEQ-02,FU-012,SC-085,The Place Beside Her Is Empty,DECISION,Puhar after divine transport,Act I break,Stage the unit's decisive movement: Make Manimekalai's disappearance a human crisis of orientation search and renewed separation rather than cutting immediately to the sacred island,"The person making, resisting or receiving the consequential action",50mm decisive action or exchange,"Puhar: humid gold, indigo shade, dyed textile colour; no fantasy glow",Let action and listening lead; music must not pre-decide moral meaning,"Prefer practical environment, crowd and object interaction; use VFX for extension or sacred discontinuity only, never as evidence.",EV-0185;EV-0193;EV-0068;EV-0165;EV-0170,AD-0093;AD-0097;AD-0098;AD-0083;AD-0086,[INTERPRETATION] grounded in registered evidence and decisions,DESCRIPTION_READY
